DATE,PI,PCE
1970-08-01,875.1,652.9
1970-09-01,878.4,659.1
1970-10-01,879.7,658.3
1970-11-01,882.3,656.6
1970-12-01,889.2,665.6
1971-01-01,898.8,676.1
1971-02-01,903.2,679.4
1971-03-01,909.0,682.0
1971-04-01,915.0,688.8
1971-05-01,922.4,691.1
1971-06-01,943.8,699.8
1971-07-01,934.8,698.9
1971-08-01,940.8,704.9
1971-09-01,947.7,713.0
1971-10-01,951.8,715.8
1971-11-01,958.6,720.9
1971-12-01,967.4,728.4
1972-01-01,976.1,731.5
1972-02-01,987.9,736.2
1972-03-01,995.6,749.2
1972-04-01,998.5,752.5
1972-05-01,1004.9,758.0
1972-06-01,1009.2,761.6
1972-07-01,1019.0,769.9
1972-08-01,1031.4,776.3
1972-09-01,1040.0,781.1
1972-10-01,1065.1,794.9
1972-11-01,1079.2,800.5
1972-12-01,1086.6,806.1
1973-01-01,1085.6,816.5
1973-02-01,1095.3,825.8
1973-03-01,1104.4,832.8
1973-04-01,1114.7,835.7
1973-05-01,1125.1,841.6
1973-06-01,1134.7,844.3
1973-07-01,1142.2,854.1
1973-08-01,1152.0,853.3
1973-09-01,1163.4,869.2
1973-10-01,1180.2,868.2
1973-11-01,1192.6,876.9
1973-12-01,1199.2,876.6
1974-01-01,1200.4,884.5
1974-02-01,1207.1,889.7
1974-03-01,1213.1,901.4
1974-04-01,1220.9,910.8
1974-05-01,1234.1,922.4
1974-06-01,1243.7,928.0
1974-07-01,1257.8,937.9
1974-08-01,1268.8,954.8
1974-09-01,1280.7,955.1
1974-10-01,1294.0,959.2
1974-11-01,1296.0,956.2
1974-12-01,1305.4,961.8
1975-01-01,1312.3,975.6
1975-02-01,1318.8,989.4
1975-03-01,1324.2,990.6
1975-04-01,1330.3,995.0
1975-05-01,1343.8,1018.9
1975-06-01,1375.8,1026.8
1975-07-01,1372.3,1039.8
1975-08-01,1388.5,1047.0
1975-09-01,1398.7,1054.8
1975-10-01,1413.4,1060.9
1975-11-01,1422.4,1075.8
1975-12-01,1432.3,1092.1
1976-01-01,1447.2,1107.1
1976-02-01,1457.5,1107.7
1976-03-01,1463.6,1114.9
1976-04-01,1472.5,1125.4
1976-05-01,1481.2,1122.7
1976-06-01,1489.9,1140.5
1976-07-01,1506.7,1149.6
1976-08-01,1519.3,1158.0
1976-09-01,1529.2,1168.8
1976-10-01,1536.7,1176.8
1976-11-01,1557.2,1189.0
1976-12-01,1570.7,1211.5
1977-01-01,1572.2,1215.0
1977-02-01,1589.6,1231.3
1977-03-01,1604.7,1238.3
1977-04-01,1620.9,1247.3
1977-05-01,1633.2,1257.1
1977-06-01,1644.9,1263.6
1977-07-01,1662.6,1280.5
1977-08-01,1676.9,1285.7
1977-09-01,1693.7,1294.5
1977-10-01,1716.3,1311.4
1977-11-01,1739.8,1327.0
1977-12-01,1756.0,1336.0
1978-01-01,1760.1,1329.5
1978-02-01,1776.2,1355.1
1978-03-01,1797.9,1377.5
1978-04-01,1821.9,1396.4
1978-05-01,1837.0,1412.0
1978-06-01,1855.8,1425.8
1978-07-01,1876.2,1426.8
1978-08-01,1894.2,1447.0
1978-09-01,1907.5,1452.9
1978-10-01,1929.7,1466.9
1978-11-01,1944.0,1480.6
1978-12-01,1964.2,1496.5
1979-01-01,1985.7,1502.4
1979-02-01,2004.3,1517.8
1979-03-01,2026.1,1531.2
1979-04-01,2030.9,1538.4
1979-05-01,2044.8,1558.8
1979-06-01,2060.5,1575.7
1979-07-01,2091.9,1586.1
1979-08-01,2111.1,1615.6
1979-09-01,2129.5,1633.9
1979-10-01,2146.8,1641.6
1979-11-01,2168.4,1657.3
1979-12-01,2191.9,1666.3
1980-01-01,2217.7,1697.3
1980-02-01,2231.4,1701.4
1980-03-01,2246.7,1708.2
1980-04-01,2255.8,1695.2
1980-05-01,2266.3,1700.1
1980-06-01,2286.3,1718.8
1980-07-01,2321.4,1747.1
1980-08-01,2345.9,1763.8
1980-09-01,2378.1,1780.5
1980-10-01,2418.1,1817.1
1980-11-01,2444.0,1826.8
1980-12-01,2472.0,1851.7
1981-01-01,2488.0,1870.0
1981-02-01,2506.5,1884.2
1981-03-01,2532.2,1902.9
1981-04-01,2538.8,1904.4
1981-05-01,2558.1,1913.8
1981-06-01,2582.5,1934.5
1981-07-01,2637.2,1942.1
1981-08-01,2663.9,1966.6
1981-09-01,2676.3,1965.5
1981-10-01,2678.6,1963.9
1981-11-01,2696.3,1970.6
1981-12-01,2703.1,1988.8
1982-01-01,2713.1,1997.1
1982-02-01,2732.7,2021.2
1982-03-01,2737.8,2024.1
1982-04-01,2758.1,2026.3
1982-05-01,2774.1,2044.5
1982-06-01,2784.7,2048.1
1982-07-01,2801.1,2072.2
1982-08-01,2815.0,2080.1
1982-09-01,2821.3,2104.6
1982-10-01,2834.9,2125.8
1982-11-01,2854.0,2149.3
1982-12-01,2872.6,2161.6
1983-01-01,2882.2,2174.0
1983-02-01,2888.8,2177.0
1983-03-01,2906.2,2202.8
1983-04-01,2921.6,2226.4
1983-05-01,2944.8,2245.9
1983-06-01,2959.8,2276.0
1983-07-01,2985.0,2304.4
1983-08-01,2993.7,2320.4
1983-09-01,3024.9,2334.9
1983-10-01,3059.3,2357.6
1983-11-01,3088.5,2366.3
1983-12-01,3117.9,2393.6
1984-01-01,3142.7,2419.4
1984-02-01,3182.1,2403.5
1984-03-01,3212.1,2431.6
1984-04-01,3245.1,2457.5
1984-05-01,3256.6,2474.5
1984-06-01,3286.9,2495.6
1984-07-01,3306.1,2494.6
1984-08-01,3338.0,2512.2
1984-09-01,3368.0,2533.8
1984-10-01,3366.0,2531.3
1984-11-01,3388.3,2571.4
1984-12-01,3420.7,2582.6
1985-01-01,3433.9,2618.8
1985-02-01,3452.3,2640.8
1985-03-01,3480.0,2648.5
1985-04-01,3478.1,2659.5
1985-05-01,3493.4,2696.4
1985-06-01,3514.9,2689.4
1985-07-01,3528.4,2715.7
1985-08-01,3539.5,2752.1
1985-09-01,3561.4,2794.7
1985-10-01,3584.0,2755.8
1985-11-01,3599.5,2771.1
1985-12-01,3633.1,2811.3
1986-01-01,3647.0,2827.1
1986-02-01,3664.7,2820.2
1986-03-01,3691.2,2823.6
1986-04-01,3696.1,2835.2
1986-05-01,3707.3,2857.5
1986-06-01,3722.9,2861.7
1986-07-01,3742.4,2881.2
1986-08-01,3756.0,2898.6
1986-09-01,3773.0,2971.8
1986-10-01,3782.2,2932.9
1986-11-01,3796.8,2928.4
1986-12-01,3817.4,2997.1
1987-01-01,3831.4,2935.5
1987-02-01,3858.1,3001.7
1987-03-01,3878.4,3013.3
1987-04-01,3891.1,3038.8
1987-05-01,3925.0,3048.4
1987-06-01,3936.5,3072.8
1987-07-01,3958.9,3094.7
1987-08-01,3995.2,3130.8
1987-09-01,4011.5,3126.5
1987-10-01,4049.8,3134.5
1987-11-01,4075.8,3144.2
1987-12-01,4127.4,3174.1
1988-01-01,4137.6,3213.7
1988-02-01,4160.3,3221.4
1988-03-01,4183.9,3260.5
1988-04-01,4213.8,3263.0
1988-05-01,4229.2,3293.6
1988-06-01,4261.4,3318.5
1988-07-01,4300.8,3342.7
1988-08-01,4324.5,3368.0
1988-09-01,4353.7,3375.0
1988-10-01,4392.0,3413.7
1988-11-01,4403.6,3430.2
1988-12-01,4440.2,3459.7
1989-01-01,4504.1,3483.7
1989-02-01,4533.2,3488.0
1989-03-01,4574.4,3498.8
1989-04-01,4587.1,3543.0
1989-05-01,4584.3,3551.8
1989-06-01,4607.3,3566.6
1989-07-01,4633.7,3585.7
1989-08-01,4644.3,3620.6
1989-09-01,4667.5,3621.9
1989-10-01,4708.1,3633.6
1989-11-01,4722.8,3643.3
1989-12-01,4740.1,3684.2
1990-01-01,4787.7,3730.7
1990-02-01,4823.2,3728.2
1990-03-01,4845.6,3754.9
1990-04-01,4886.1,3770.0
1990-05-01,4891.2,3775.8
1990-06-01,4920.3,3804.5
1990-07-01,4948.5,3821.7
1990-08-01,4949.5,3848.3
1990-09-01,4977.5,3870.1
1990-10-01,4964.6,3870.6
1990-11-01,4970.7,3871.9
1990-12-01,5000.4,3861.3
1991-01-01,4985.8,3841.0
1991-02-01,4991.7,3866.7
1991-03-01,4999.9,3913.0
1991-04-01,5028.0,3907.1
1991-05-01,5049.5,3933.2
1991-06-01,5084.7,3940.5
1991-07-01,5081.2,3966.0
1991-08-01,5103.2,3969.1
1991-09-01,5136.8,3984.7
1991-10-01,5153.5,3976.0
1991-11-01,5173.7,4003.6
1991-12-01,5230.9,4020.5
1992-01-01,5264.2,4084.7
1992-02-01,5303.8,4099.5
1992-03-01,5325.5,4117.0
1992-04-01,5359.8,4131.5
1992-05-01,5395.6,4158.4
1992-06-01,5427.8,4177.1
1992-07-01,5441.3,4204.8
1992-08-01,5469.7,4220.9
1992-09-01,5457.7,4255.3
1992-10-01,5450.1,4284.7
1992-11-01,5472.7,4300.5
1992-12-01,5682.1,4336.4
1993-01-01,5539.2,4340.7
1993-02-01,5573.0,4355.3
1993-03-01,5569.9,4352.5
1993-04-01,5626.7,4393.4
1993-05-01,5642.8,4422.4
1993-06-01,5637.9,4440.0
1993-07-01,5665.2,4468.9
1993-08-01,5687.2,4481.1
1993-09-01,5680.3,4511.5
1993-10-01,5674.3,4532.8
1993-11-01,5699.6,4554.1
1993-12-01,5899.1,4571.1
1994-01-01,5784.5,4585.1
1994-02-01,5803.8,4632.6
1994-03-01,5835.5,4646.0
1994-04-01,5896.8,4671.1
1994-05-01,5917.5,4669.5
1994-06-01,5923.9,4708.9
1994-07-01,5952.6,4720.6
1994-08-01,5974.8,4762.6
1994-09-01,6007.6,4775.0
1994-10-01,6071.6,4812.9
1994-11-01,6081.8,4825.6
1994-12-01,6114.7,4841.6
1995-01-01,6155.5,4851.2
1995-02-01,6180.4,4850.8
1995-03-01,6207.6,4885.4
1995-04-01,6231.3,4890.2
1995-05-01,6245.8,4933.1
1995-06-01,6275.1,4977.5
1995-07-01,6304.3,4970.2
1995-08-01,6327.2,5005.3
1995-09-01,6356.2,5020.5
1995-10-01,6382.3,5013.9
1995-11-01,6403.1,5055.6
1995-12-01,6427.4,5097.5
1996-01-01,6463.8,5085.7
1996-02-01,6528.1,5132.8
1996-03-01,6570.9,5173.3
1996-04-01,6608.1,5208.0
1996-05-01,6648.4,5223.8
1996-06-01,6693.0,5229.8
1996-07-01,6694.0,5251.9
1996-08-01,6722.5,5275.0
1996-09-01,6761.1,5296.6
1996-10-01,6783.0,5328.5
1996-11-01,6817.2,5351.2
1996-12-01,6852.1,5378.6
1997-01-01,6901.2,5411.1
1997-02-01,6938.1,5434.0
1997-03-01,6978.7,5454.2
1997-04-01,6991.4,5459.3
1997-05-01,7020.4,5460.2
1997-06-01,7054.9,5494.2
1997-07-01,7090.6,5548.8
1997-08-01,7138.2,5587.0
1997-09-01,7177.1,5601.7
1997-10-01,7224.3,5637.7
1997-11-01,7276.1,5661.1
1997-12-01,7318.6,5692.1
1998-01-01,7387.7,5689.9
1998-02-01,7434.5,5723.8
1998-03-01,7481.4,5750.3
1998-04-01,7518.6,5788.1
1998-05-01,7563.6,5837.9
1998-06-01,7601.0,5871.7
1998-07-01,7633.9,5890.0
1998-08-01,7673.9,5925.0
1998-09-01,7696.6,5965.6
1998-10-01,7728.5,5998.8
1998-11-01,7766.6,6015.4
1998-12-01,7793.5,6070.5
1999-01-01,7834.6,6073.9
1999-02-01,7863.4,6099.2
1999-03-01,7879.4,6133.0
1999-04-01,7895.9,6199.5
1999-05-01,7920.3,6232.1
1999-06-01,7952.6,6260.3
1999-07-01,7994.8,6287.6
1999-08-01,8047.2,6331.9
1999-09-01,8072.9,6386.5
1999-10-01,8135.5,6411.4
1999-11-01,8199.3,6448.7
1999-12-01,8285.8,6541.0
2000-01-01,8382.6,6542.9
2000-02-01,8443.7,6625.3
2000-03-01,8503.7,6686.5
2000-04-01,8542.9,6679.1
2000-05-01,8580.9,6709.7
2000-06-01,8634.2,6746.9
2000-07-01,8701.2,6768.5
2000-08-01,8747.4,6802.8
2000-09-01,8792.1,6888.6
2000-10-01,8825.5,6893.8
2000-11-01,8842.0,6909.8
2000-12-01,8874.7,6952.2
2001-01-01,8975.6,6987.4
2001-02-01,9010.9,7001.8
2001-03-01,9041.2,6996.7
2001-04-01,9033.8,7004.2
2001-05-01,9030.6,7052.8
2001-06-01,9032.9,7069.7
2001-07-01,9028.1,7082.3
2001-08-01,9013.6,7121.7
2001-09-01,8987.3,7007.0
2001-10-01,9000.0,7212.9
2001-11-01,8997.6,7182.3
2001-12-01,9002.1,7166.7
2002-01-01,9025.1,7184.6
2002-02-01,9040.4,7225.2
2002-03-01,9059.0,7243.4
2002-04-01,9108.7,7312.5
2002-05-01,9140.4,7288.9
2002-06-01,9174.8,7322.5
2002-07-01,9168.1,7387.3
2002-08-01,9186.9,7412.6
2002-09-01,9210.1,7391.5
2002-10-01,9244.4,7435.2
2002-11-01,9273.3,7463.8
2002-12-01,9300.2,7519.9
2003-01-01,9297.2,7541.3
2003-02-01,9302.0,7548.6
2003-03-01,9341.7,7611.5
2003-04-01,9369.8,7634.5
2003-05-01,9431.9,7650.3
2003-06-01,9475.2,7699.6
2003-07-01,9512.4,7757.0
2003-08-01,9560.2,7852.1
2003-09-01,9604.3,7853.7
2003-10-01,9642.4,7867.4
2003-11-01,9710.1,7922.6
2003-12-01,9734.9,7950.4
2004-01-01,9753.2,8007.1
2004-02-01,9786.7,8040.4
2004-03-01,9837.2,8098.8
2004-04-01,9887.5,8107.2
2004-05-01,9972.9,8176.5
2004-06-01,10013.0,8157.6
2004-07-01,10060.0,8236.9
2004-08-01,10107.8,8271.6
2004-09-01,10142.9,8341.5
2004-10-01,10194.7,8397.1
2004-11-01,10210.6,8444.5
2004-12-01,10564.5,8504.4
2005-01-01,10296.1,8497.7
2005-02-01,10335.8,8559.1
2005-03-01,10403.5,8598.4
2005-04-01,10468.7,8678.4
2005-05-01,10522.6,8671.6
2005-06-01,10559.1,8753.4
2005-07-01,10622.7,8853.8
2005-08-01,10684.7,8850.1
2005-09-01,10750.8,8900.4
2005-10-01,10825.6,8938.5
2005-11-01,10873.6,8946.2
2005-12-01,10915.9,8981.1
2006-01-01,11110.9,9071.6
2006-02-01,11180.6,9096.0
2006-03-01,11251.7,9132.9
2006-04-01,11307.8,9191.6
2006-05-01,11329.1,9231.8
2006-06-01,11372.0,9259.6
2006-07-01,11404.2,9343.8
2006-08-01,11431.6,9342.2
2006-09-01,11471.2,9375.4
2006-10-01,11507.6,9393.6
2006-11-01,11570.5,9400.2
2006-12-01,11679.2,9488.3
2007-01-01,11737.9,9538.7
2007-02-01,11824.1,9566.0
2007-03-01,11910.2,9611.7
2007-04-01,11955.5,9643.6
2007-05-01,11995.3,9685.8
2007-06-01,12015.3,9706.8
2007-07-01,12041.5,9751.1
2007-08-01,12050.3,9798.9
2007-09-01,12115.9,9845.1
2007-10-01,12142.4,9882.7
2007-11-01,12197.5,9955.9
2007-12-01,12270.4,9972.8
2008-01-01,12302.1,9996.4
2008-02-01,12329.8,9981.7
2008-03-01,12374.0,10035.3
2008-04-01,12360.2,10070.3
2008-05-01,12934.6,10132.3
2008-06-01,12713.5,10187.1
2008-07-01,12564.0,10185.1
2008-08-01,12472.5,10175.7
2008-09-01,12489.4,10116.4
2008-10-01,12489.4,10034.1
2008-11-01,12427.1,9885.2
2008-12-01,12274.1,9801.5
2009-01-01,12155.6,9847.2
2009-02-01,12031.7,9824.5
2009-03-01,11983.8,9773.2
2009-04-01,12022.2,9772.5
2009-05-01,12188.9,9791.6
2009-06-01,12050.9,9852.4
2009-07-01,12007.4,9886.3
2009-08-01,12021.0,10004.1
2009-09-01,12071.4,9927.8
2009-10-01,12080.2,9976.7
2009-11-01,12143.6,9985.7
2009-12-01,12208.3,10052.6
2010-01-01,12296.6,10056.1
2010-02-01,12301.4,10093.4
2010-03-01,12365.6,10156.0
2010-04-01,12473.3,10182.3
2010-05-01,12575.2,10210.8
2010-06-01,12585.4,10231.3
2010-07-01,12629.5,10268.1
2010-08-01,12697.4,10307.1
2010-09-01,12719.1,10327.1
2010-10-01,12768.0,10386.4
2010-11-01,12808.4,10433.6
2010-12-01,12914.3,10471.0
2011-01-01,13120.0,10514.3
2011-02-01,13193.3,10540.6
2011-03-01,13214.3,10619.7
2011-04-01,13247.4,10652.1
2011-05-01,13270.9,10672.2
2011-06-01,13323.5,10694.8
2011-07-01,13398.4,10731.6
2011-08-01,13420.6,10750.3
2011-09-01,13422.3,10783.2
2011-10-01,13430.4,10802.9
2011-11-01,13447.9,10806.8
2011-12-01,13582.4,10817.8
2012-01-01,13683.6,10896.8
2012-02-01,13798.1,10987.2
2012-03-01,13877.1,10993.9
2012-04-01,13954.9,11018.5
2012-05-01,13944.6,11006.8
2012-06-01,13938.1,10989.8
2012-07-01,13859.9,11016.8
2012-08-01,13879.8,11056.0
2012-09-01,14028.2,11105.3
2012-10-01,14164.6,11137.4
2012-11-01,14346.4,11178.4
2012-12-01,14696.7,11181.2
2013-01-01,13996.7,11245.8
2013-02-01,14015.4,11282.1
2013-03-01,14046.4,11268.9
2013-04-01,14089.6,11259.3
2013-05-01,14168.4,11295.1
2013-06-01,14200.8,11318.5
2013-07-01,14191.1,11346.8
2013-08-01,14240.1,11376.9
2013-09-01,14301.2,11413.9
2013-10-01,14290.7,11465.2
2013-11-01,14357.7,11531.3
2013-12-01,14425.7,11558.6
2014-01-01,14529.9,11543.7
2014-02-01,14620.1,11615.4
2014-03-01,14725.2,11695.2
2014-04-01,14800.2,11737.4
2014-05-01,14872.4,11778.6
2014-06-01,14951.3,11838.0
2014-07-01,15026.9,11879.2
2014-08-01,15105.5,11958.8
2014-09-01,15166.0,11964.9
2014-10-01,15233.2,12035.5
2014-11-01,15304.9,12058.4
2014-12-01,15383.1,12067.6
2015-01-01,15444.5,12036.5
2015-02-01,15525.3,12083.1
2015-03-01,15523.4,12132.2
2015-04-01,15581.5,12170.3
2015-05-01,15650.7,12233.6
2015-06-01,15687.4,12270.3
2015-07-01,15727.5,12327.5
2015-08-01,15761.1,12359.3
2015-09-01,15782.3,12356.4
2015-10-01,15822.4,12362.3
2015-11-01,15831.0,12397.5
2015-12-01,15885.7,12432.8
2016-01-01,15906.1,12452.1
2016-02-01,15906.3,12526.3
2016-03-01,15943.3,12506.8
2016-04-01,15974.1,12586.0
2016-05-01,15993.9,12624.4
2016-06-01,16038.1,12701.7
2016-07-01,16105.0,12720.6
2016-08-01,16142.6,12749.8
2016-09-01,16207.3,12806.8
2016-10-01,16264.5,12828.1
2016-11-01,16307.3,12853.6
2016-12-01,16374.1,12962.9
2017-01-01,16489.3,13020.4
2017-02-01,16557.5,13038.6
2017-03-01,16609.1,13089.3
2017-04-01,16667.2,13114.1
2017-05-01,16763.7,13117.6
2017-06-01,16791.0,13170.3
2017-07-01,16848.0,13193.5
2017-08-01,16907.9,13234.1
2017-09-01,17008.3,13353.4
2017-10-01,17087.2,13383.4
2017-11-01,17146.6,13479.8
2017-12-01,17202.4,13609.0
2018-01-01,17294.8,13628.4
2018-02-01,17354.1,13668.3
2018-03-01,17416.0,13735.4
2018-04-01,17472.7,13792.1
2018-05-01,17547.6,13860.2
2018-06-01,17631.9,13900.2
2018-07-01,17734.2,13952.3
2018-08-01,17816.8,14001.1
2018-09-01,17850.7,14013.0
2018-10-01,17919.9,14096.5
2018-11-01,17975.9,14160.6
2018-12-01,18190.9,14051.7
2019-01-01,18254.2,14090.0
2019-02-01,18348.5,14113.9
2019-03-01,18433.4,14233.8
2019-04-01,18475.5,14272.6
2019-05-01,18500.0,14322.1
2019-06-01,18539.1,14376.6
2019-07-01,18573.3,14448.3
2019-08-01,18670.6,14487.0
2019-09-01,18722.6,14511.2
2019-10-01,18791.9,14554.2
2019-11-01,18880.2,14613.8
2019-12-01,18854.8,14689.2
